case_id,incident_id,discovery_source_id,act_date,act_stage_hint,census_status,official_record_verified,notes
А41-17841/2024,SHUS-2024,SRC-SUDACT-A41-17841-2024-AP1,2024-09-24,APPEAL,DISCOVERED,false,"Appeal act explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-21723/2024,SHUS-2024,SRC-SUDACT-A41-21723-2024-FI,2024-06-30,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-22619/2024,SHUS-2024,SRC-SUDACT-A41-22619-2024-FI,2024-06-13,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-22938/2024,SHUS-2024,SRC-SUDACT-A41-22938-2024-FI,2024-05-30,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-26529/2024,SHUS-2024,SRC-SUDACT-A41-26529-2024-FI,2024-05-29,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-30285/2024,SHUS-2024,SRC-SUDACT-A41-30285-2024-FI,2024-07-02,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-35926/2024,SHUS-2024,SRC-SUDACT-A41-35926-2024-FI,2024-07-15,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-38250/2024,SHUS-2024,SRC-SUDACT-A41-38250-2024-FI,2024-07-03,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-38320/2024,SHUS-2024,SRC-SUDACT-A41-38320-2024-FI,2025-03-27,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-62484/2024,SHUS-2024,SRC-SUDACT-A41-62484-2024-FI,2024-10-02,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-64014/2024,SHUS-2024,SRC-SUDACT-A41-64014-2024-FI,2024-09-24,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-65092/2024,SHUS-2024,SRC-SUDACT-A41-65092-2024-FI,2024-10-25,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-69635/2024,SHUS-2024,SRC-SUDACT-A41-69635-2024-FI,2024-11-27,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
А41-100622/2024,SHUS-2024,SRC-SUDACT-A41-100622-2024-FI,2025-03-11,FIRST,DISCOVERED,false,"Decision explicitly links dispute to 13 Jan 2024 Shushary fire"
