act_observation_id,case_id,incident_id,source_id,act_date,stage_hint,record_status,official_record_verified
SHUS-2024-A41-17841-2024-AP1,А41-17841/2024,SHUS-2024,SRC-SUDACT-A41-17841-2024-AP1,2024-09-24,APPEAL,DISCOVERED,false
SHUS-2024-A41-21723-2024-FI,А41-21723/2024,SHUS-2024,SRC-SUDACT-A41-21723-2024-FI,2024-06-30,FIRST,DISCOVERED,false
SHUS-2024-A41-22619-2024-FI,А41-22619/2024,SHUS-2024,SRC-SUDACT-A41-22619-2024-FI,2024-06-13,FIRST,DISCOVERED,false
SHUS-2024-A41-22938-2024-FI,А41-22938/2024,SHUS-2024,SRC-SUDACT-A41-22938-2024-FI,2024-05-30,FIRST,DISCOVERED,false
SHUS-2024-A41-26529-2024-FI,А41-26529/2024,SHUS-2024,SRC-SUDACT-A41-26529-2024-FI,2024-05-29,FIRST,DISCOVERED,false
SHUS-2024-A41-30285-2024-FI,А41-30285/2024,SHUS-2024,SRC-SUDACT-A41-30285-2024-FI,2024-07-02,FIRST,DISCOVERED,false
SHUS-2024-A41-35926-2024-FI,А41-35926/2024,SHUS-2024,SRC-SUDACT-A41-35926-2024-FI,2024-07-15,FIRST,DISCOVERED,false
SHUS-2024-A41-38250-2024-FI,А41-38250/2024,SHUS-2024,SRC-SUDACT-A41-38250-2024-FI,2024-07-03,FIRST,DISCOVERED,false
SHUS-2024-A41-38320-2024-FI,А41-38320/2024,SHUS-2024,SRC-SUDACT-A41-38320-2024-FI,2025-03-27,FIRST,DISCOVERED,false
SHUS-2024-A41-62484-2024-FI,А41-62484/2024,SHUS-2024,SRC-SUDACT-A41-62484-2024-FI,2024-10-02,FIRST,DISCOVERED,false
SHUS-2024-A41-64014-2024-FI,А41-64014/2024,SHUS-2024,SRC-SUDACT-A41-64014-2024-FI,2024-09-24,FIRST,DISCOVERED,false
SHUS-2024-A41-65092-2024-FI,А41-65092/2024,SHUS-2024,SRC-SUDACT-A41-65092-2024-FI,2024-10-25,FIRST,DISCOVERED,false
SHUS-2024-A41-69635-2024-FI,А41-69635/2024,SHUS-2024,SRC-SUDACT-A41-69635-2024-FI,2024-11-27,FIRST,DISCOVERED,false
SHUS-2024-A41-100622-2024-FI,А41-100622/2024,SHUS-2024,SRC-SUDACT-A41-100622-2024-FI,2025-03-11,FIRST,DISCOVERED,false
SHUS-2024-A41-20982-2024-FI,А41-20982/2024,SHUS-2024,SRC-SUDACT-A41-20982-2024-FI,2024-06-13,FIRST,DISCOVERED,false
SHUS-2024-A41-29402-2024-FI,А41-29402/2024,SHUS-2024,SRC-SUDACT-A41-29402-2024-FI,2024-07-11,FIRST,DISCOVERED,false
SHUS-2024-A41-35585-2024-FI,А41-35585/2024,SHUS-2024,SRC-SUDACT-A41-35585-2024-FI,2024-10-17,FIRST,DISCOVERED,false
SHUS-2024-A41-55329-2024-FI,А41-55329/2024,SHUS-2024,SRC-SUDACT-A41-55329-2024-FI,2024-10-24,FIRST,DISCOVERED,false
SHUS-2024-A41-61831-2024-AP1,А41-61831/2024,SHUS-2024,SRC-SUDACT-A41-61831-2024-AP1,2025-03-04,APPEAL,DISCOVERED,false
SHUS-2024-A41-71665-2024-AP1,А41-71665/2024,SHUS-2024,SRC-SUDACT-A41-71665-2024-AP1,2025-06-08,APPEAL,DISCOVERED,false
SHUS-2024-A41-79431-2024-FI,А41-79431/2024,SHUS-2024,SRC-SUDACT-A41-79431-2024-FI,2025-04-07,FIRST,DISCOVERED,false
SHUS-2024-A41-84741-2024-FI,А41-84741/2024,SHUS-2024,SRC-SUDACT-A41-84741-2024-FI,2025-04-28,FIRST,DISCOVERED,false
SHUS-2024-A41-93300-2024-AP1,А41-93300/2024,SHUS-2024,SRC-SUDACT-A41-93300-2024-AP1,2025-08-05,APPEAL,DISCOVERED,false
SHUS-2024-A41-39642-2024-FI,А41-39642/2024,SHUS-2024,SRC-SUDACT-A41-39642-2024-FI,2025-05-11,FIRST,DISCOVERED,false
